Methods,executed_answers_score,turn_program_score,question_id,executed_answers_agent_v2_i1_score,turn_program_agent_v2_i1_score,turn_type_agent_v2_i1_score,qa_split_agent_v2_i1_score,agent_id,executed_answers_agent_v2_i2_score,turn_program_agent_v2_i2_score,turn_type_agent_v2_i2_score,qa_split_agent_v2_i2_score
Answered,0.689,0.6824,672,0.7529761904761905,0.4806547619047619,0.9702380952380952,0.6636904761904762,agent_v2_i1,,,,
turn_type-Number,0.8254,0.8234,246,0.8577235772357723,0.6829268292682927,0.9552845528455285,0.6788617886178862,agent_v2_i1,,,,
turn_type-Program,0.6214,0.6126,426,0.6924882629107981,0.36384976525821594,0.9788732394366197,0.6549295774647887,agent_v2_i1,,,,
has_type2_question-False,0.7237,0.72,433,0.7575057736720554,0.4780600461893764,0.976905311778291,0.6789838337182448,agent_v2_i1,,,,
has_type2_question-True,0.6099,0.597,239,0.7447698744769874,0.48535564853556484,0.9581589958158996,0.6359832635983264,agent_v2_i1,,,,
q_order-0,0.7558,0.7488,185,0.8216216216216217,0.5621621621621622,0.9459459459459459,1.0,agent_v2_i1,,,,
q_order-1,0.7074,0.6982,169,0.8224852071005917,0.5325443786982249,0.9408284023668639,0.4319526627218935,agent_v2_i1,,,,
q_order-2,0.6613,0.6548,141,0.6737588652482269,0.40425531914893614,1.0,0.5673758865248227,agent_v2_i1,,,,
q_order-3,0.6396,0.6396,99,0.6262626262626263,0.43434343434343436,1.0,0.5757575757575758,agent_v2_i1,,,,
q_order-4,0.639,0.6306,48,0.75,0.4166666666666667,1.0,0.6875,agent_v2_i1,,,,
q_order-5,0.3438,0.3438,20,0.8,0.4,1.0,0.6,agent_v2_i1,,,,
Answered,0.689,0.6824,671,,,,,agent_v2_i2,0.7630402384500745,0.5424739195230999,0.9791356184798807,0.6721311475409836
turn_type-Number,0.8254,0.8234,245,,,,,agent_v2_i2,0.8612244897959184,0.7836734693877551,0.963265306122449,0.7061224489795919
turn_type-Program,0.6214,0.6126,426,,,,,agent_v2_i2,0.7065727699530516,0.40375586854460094,0.9882629107981221,0.6525821596244131
has_type2_question-False,0.7237,0.72,432,,,,,agent_v2_i2,0.7777777777777778,0.5439814814814815,0.9861111111111112,0.6967592592592593
has_type2_question-True,0.6099,0.597,239,,,,,agent_v2_i2,0.7364016736401674,0.5397489539748954,0.9665271966527197,0.6276150627615062
q_order-0,0.7558,0.7488,184,,,,,agent_v2_i2,0.8478260869565217,0.7336956521739131,0.9565217391304348,1.0
q_order-1,0.7074,0.6982,170,,,,,agent_v2_i2,0.8117647058823529,0.5705882352941176,0.9647058823529412,0.4470588235294118
q_order-2,0.6613,0.6548,141,,,,,agent_v2_i2,0.6879432624113475,0.425531914893617,1.0,0.5815602836879432
q_order-3,0.6396,0.6396,98,,,,,agent_v2_i2,0.6530612244897959,0.4387755102040816,1.0,0.6020408163265306
q_order-4,0.639,0.6306,48,,,,,agent_v2_i2,0.75,0.4166666666666667,1.0,0.6666666666666666
q_order-5,0.3438,0.3438,20,,,,,agent_v2_i2,0.8,0.4,1.0,0.6
