question_id,report_id,turn_index,gold_turn_type,correct,pred_answer,gold_answer,band,p_correct,reason,checks,error,latency_ms,input_tokens,output_tokens,cost_usd
Single_AMT/2002/page_104.pdf-2_q0,Single_AMT/2002/page_104.pdf-2,0,Program,True,399758,399758,high,0.98,"All six checks pass. The trail correctly interprets the unusual table structure where an unlabeled row key represents 2003 (confirmed by total reconciliation: 268496+131262+195082+538479+1065437+1408783=3607539), retrieves the correct 2004 value, sums them with a verified calculator call, and reports the result in the correct unit (thousands).","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,23034.0,10.0,2993.0,0.0365422
Single_AMT/2002/page_104.pdf-2_q1,Single_AMT/2002/page_104.pdf-2,1,Program,True,594840,594840,high,0.99,All six checks pass. The 2005 operand (195082) is verified in the table; the prior answer (399758) is well-grounded via the schedule-table row-label interpretation and correctly extended; program and arithmetic both match the request; units and scale are consistent throughout.,"{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,65921.0,10.0,6400.0,0.0534032
Single_AMT/2008/page_34.pdf-1_q0,Single_AMT/2008/page_34.pdf-1,0,Program,True,-3.19,-3.19,high,0.99,"All six checks pass. Both operands (October and December average prices) are correctly cited from the table, periods match the question exactly, subtraction order is correct for \""net change from October to December,\"" and the calculator confirms 27.32 − 30.51 = −3.19 with proper rounding. Scale (dollars per share) is appropriate and unchanged.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,18692.0,10.0,1825.0,0.030548199999999998
Single_AMT/2008/page_34.pdf-1_q1,Single_AMT/2008/page_34.pdf-1,1,Program,True,-10.5%,-10.5%,high,0.99,All six checks pass. The net change (-3.19) from prior turn is correctly referenced; October's price (30.51) is verified in table; percentage-change formula (change÷base) is correct; arithmetic -3.19÷30.51=-0.1046 scales to -10.5%; percent formatting matches question wording.,"{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,29997.0,10.0,2912.0,0.036125199999999996
Double_HWM/2016/page_95.pdf_q0,Double_HWM/2016/page_95.pdf,0,Number,True,793.0,793,high,0.99,"All six checks pass. Direct table lookup correctly cites computer software gross carrying amount ($793.0) from December 31, 2015 table; no arithmetic required or claimed; period and source unambiguous.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,14254.0,10.0,1433.0,0.028404199999999998
Double_HWM/2016/page_95.pdf_q1,Double_HWM/2016/page_95.pdf,1,Number,True,643.0,643,high,0.98,"All six checks pass. Trail correctly extracts magnitude (643.0) from contra-account cell (-643.0), justifying sign removal as formatting artifact consistent across entire row. Simple lookup, no arithmetic needed, proper period context from prior turn, clear reference to same asset.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,25811.0,10.0,2715.0,0.0349202
Double_HWM/2016/page_95.pdf_q2,Double_HWM/2016/page_95.pdf,2,Program,False,793.0,1436,high,0.97,"All six checks pass. Value 793.0 correctly retrieved from table; period implicitly Dec 31, 2015 (established Q1); 'original cost' ↔ 'gross carrying amount' is standard accounting synonymy. Prior turn 1 well-grounded. Only minor: synonymy is convention, not explicit in document text, and current question omits period—but context and domain convention support both.""","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,38429.0,10.0,3244.0,0.0376112
Single_AON/2014/page_47.pdf-3_q0,Single_AON/2014/page_47.pdf-3,0,Number,False,318.0,1.6,high,0.99,"All six checks pass. Direct table lookup, 2013 operating income column; period matches exactly; value 318.0 confirmed in source; no arithmetic needed; format matches source convention.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,17266.0,10.0,1785.0,0.021587
Double_IP/2018/page_83.pdf_q0,Double_IP/2018/page_83.pdf,0,Program,True,32,32,high,0.92,"All six checks pass. Sign handling (magnitudes 220, 188 despite table showing -220, -188) is corroborated by pre_text framing changes as positive ""increases"" and post_text framing uncertain tax positions as positive amounts. Periods match exactly (2017 vs 2018). Arithmetic verified: 220−188=32. Answer format (bare number) matches source table convention.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,127779.0,10.0,12048.0,0.07301
Double_IP/2018/page_83.pdf_q1,Double_IP/2018/page_83.pdf,1,Number,True,188,188,low,0.82,"arithmetic_verified fails: sign flip (−188.0 to 188) applied in prose reasoning only, without a calculator call to verify the transformation. The instruction explicitly bars sign flips without verification, with no exception for formatting artifacts at this stage. Answer is likely correct (prior turn's net-change computation of 32 indirectly validates both 2017 and 2018 values), but the methodology does not meet the verification standard.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""fail"", ""unit_and_scale"": ""pass""}",,70568.0,10.0,6571.0,0.045101
