question_id,report_id,turn_index,gold_turn_type,correct,pred_answer,gold_answer,band,p_correct,reason,checks,error,latency_ms,input_tokens,output_tokens,cost_usd,unscored
Single_AMT/2002/page_104.pdf-2_q0,Single_AMT/2002/page_104.pdf-2,0,Program,True,399758,399758,high,0.99,"All six checks pass. Operands correctly sourced from schedule table (2003 from row-label position, verified by total reconciliation; 2004 from labeled column). Periods match question exactly. Addition program appropriate for ""sum."" Arithmetic verified via calculator: 268496 + 131262 = 399758. Units consistent (thousands, plain-number format).","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,26923.0,10.0,2502.0,0.0340872,False
Single_AMT/2002/page_104.pdf-2_q1,Single_AMT/2002/page_104.pdf-2,1,Program,True,594840,594840,high,0.99,"All six checks pass. Both operands correctly sourced and grounded: prior sum (399,758) verified against Q1's inputs, and 2005 value (195,082) matched to table. Period correctly extended to include 2005 in cumulative sum. Program is straightforward addition. Calculator trajectory confirms 399,758 + 195,082 = 594,840. Independent full-sum verification: 268,496 + 131,262 + 195,082 = 594,840. Unit and scale consistent with source (in thousands).","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,39609.0,10.0,3729.0,0.040048200000000006,False
Single_AMT/2008/page_34.pdf-1_q0,Single_AMT/2008/page_34.pdf-1,0,Program,True,-3.19,-3.19,high,0.99,"All six checks pass. Operands (30.51, 27.32) match table cells exactly. Period (Oct–Dec 2008) matches question. Program correctly orders subtraction as later−earlier. Calculator trajectory verified: 27.32−30.51=−3.19. Answer is releasable.""","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,31428.0,10.0,3202.0,0.0374332,False
Single_AMT/2008/page_34.pdf-1_q1,Single_AMT/2008/page_34.pdf-1,1,Program,True,-10.5%,-10.5%,high,0.99,"All six checks pass. Prior turn's net change (-3.19) correctly referenced, October 2008 base (30.51) properly cited from table, division correctly computed by calculator (-0.10456), and appropriately expressed as percentage (-10.5%).","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,28434.0,10.0,2694.0,0.0350352,False
Double_HWM/2016/page_95.pdf_q0,Double_HWM/2016/page_95.pdf,0,Number,True,793.0,793,high,0.99,"Direct table lookup of 793.0 for computer software gross carrying amount (Dec 31, 2015) is correctly cited, period matches, no arithmetic needed, value verified exactly in source.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,19701.0,10.0,1805.0,0.022137,False
Double_HWM/2016/page_95.pdf_q1,Double_HWM/2016/page_95.pdf,1,Number,True,643.0,643,low,0.82,"arithmetic_verified fails: the trail applies a sign transformation (−643.0 from table to +643.0 in answer) based on contra-account reasoning, but without a calculator call to verify it. Though the answer likely reflects correct accounting convention, the transformation is unverified.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""fail"", ""unit_and_scale"": ""pass""}",,98863.0,10.0,8900.0,0.06584519999999999,False
Double_HWM/2016/page_95.pdf_q2,Double_HWM/2016/page_95.pdf,2,Program,False,793.0,1436,high,0.99,"All six checks pass. Agent correctly identified ""original cost"" as synonymous with ""gross carrying amount"" (standard accounting term), properly reused the 793.0 figure from Turn 1, maintained Dec 31, 2015 period consistency, and required no arithmetic. Value is directly verifiable in the cited table cell.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,23285.0,10.0,2570.0,0.026114,False
Single_AON/2014/page_47.pdf-3_q0,Single_AON/2014/page_47.pdf-3,0,Number,False,318.0,1.6,high,0.99,"Direct table lookup; all six checks pass. Retrieved value 318.0 matches table entry exactly for 2013 operating income column. No arithmetic, period, or reference issues.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,26270.0,10.0,2311.0,0.032344200000000004,False
Double_IP/2018/page_83.pdf_q0,Double_IP/2018/page_83.pdf,0,Program,True,32,32,high,0.99,All checks pass. Sign artifact justified by liability rollforward convention and pre_text corroboration. Arithmetic verified: 220 − 188 = 32 million increase. Periods and operation align with question's phrasing.,"{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,71300.0,10.0,6539.0,0.045465000000000005,False
Double_IP/2018/page_83.pdf_q1,Double_IP/2018/page_83.pdf,1,Number,True,188,188,low,0.28,"Answer drops negative sign from cited table cell (-188.0 → 188) without calculated justification or explicit, documented sign policy. The sign flip appears only in prose as 'magnitude 188 per sign policy' with no calculator call and no prior established convention stated in the document itself.","{""operand_in_source"": ""fail"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""fail"", ""unit_and_scale"": ""fail""}",,116444.0,10.0,10319.0,0.06384100000000001,False
Double_IP/2018/page_83.pdf_q2,Double_IP/2018/page_83.pdf,2,Program,True,0.17,17%,low,0.02,"The question explicitly asks for ""percentage change,"" requiring a percent-scale answer (~17%), but the trail reports 0.17 (a decimal ratio). The program is missing the ×100 step to convert the ratio to a percentage. The trail's claimed ""dataset convention"" of reporting percentages as decimals is unsupported and contradicts standard financial reporting.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""fail"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""fail""}",,86408.0,10.0,8219.0,0.053813000000000014,False
Double_IP/2018/page_83.pdf_q3,Double_IP/2018/page_83.pdf,3,Number,True,98,98,high,0.985,"Pure lookup from 2016 table column, correct period. Sign artifact (−98.0 → 98) is uniform across entire balance row, economically sound for liabilities, and corroborated by already-accepted prior turn A2 using the same row. No additional operands or operations introduced.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,82158.0,10.0,7207.0,0.048439,False
Double_IP/2018/page_83.pdf_q4,Double_IP/2018/page_83.pdf,4,Program,True,90,90,high,0.98,"All six checks pass. Prior-turn operands (188 for 2017, 98 for 2016) are correctly cited and match prior answers; periods are exact matches; subtraction order (2017 − 2016) is correct; calculator confirms 188 − 98 = 90; scale and units are consistent with document convention. The sign convention (absolute values in a narrative context discussing ""increases"") is standard financial reporting practice and consistent throughout the conversation.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,61299.0,10.0,7132.0,0.04848800000000001,False
Double_IP/2018/page_83.pdf_q5,Double_IP/2018/page_83.pdf,5,Program,True,91.8%,92%,high,0.99,"All six checks pass. Operands precisely sourced (net change 90 from 2016/2017 balances; 2016 base 98); periods explicitly match question wording; percentage change formula correctly applied with 100× scaling; calculator trajectory complete with final output matching reported answer (91.8% from multiply(divide(90,98),100)).","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,33484.0,10.0,3279.0,0.029551,False
Double_FIS/2012/page_46.pdf_q0,Double_FIS/2012/page_46.pdf,0,Number,True,153.9,153.9,high,0.99,"All six checks pass. Direct lookup correctly sourced to contractual obligations table (long-term debt, <1 year column = 153.9M), period and scope match (current liabilities = due within one year), no arithmetic needed, units consistent with table convention (millions).","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,18540.0,10.0,2089.0,0.022619,False
Double_FIS/2012/page_46.pdf_q1,Double_FIS/2012/page_46.pdf,1,Number,True,4385.5,4385.5,high,0.99,All six checks pass; straightforward direct lookup to table total column; value independently verified by summing period components.,"{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,22367.0,10.0,2207.0,0.023139,False
Double_FIS/2012/page_46.pdf_q2,Double_FIS/2012/page_46.pdf,2,Program,True,3.5%,3.5%,high,0.99,"All six checks pass. Straightforward percentage calculation (153.9 ÷ 4385.5 × 100 = 3.5%) from two prior-turn operands with clear referents, correct arithmetic verified by calculator trajectory, proper percent formatting, and matching periods.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,26871.0,10.0,2705.0,0.026421,False
Double_FIS/2012/page_46.pdf_q3,Double_FIS/2012/page_46.pdf,3,Program,True,71.9%,72%,high,0.99,"All six checks pass. Operands (4385.5, 6097.1) verified in table; period (total across all buckets, Dec 31 2012) matches question; reference to Turn 2 cleanly resolved; program (divide and scale) matches percentage-of-total request; calculator trajectory correct; percent scale appropriate and magnitude plausible.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,28108.0,10.0,2733.0,0.026635,False
Double_STT/2008/page_139.pdf_q0,Double_STT/2008/page_139.pdf,0,Number,True,200,200,high,0.99,"All six checks pass. Straightforward table lookup, exact numeric match to cited cell, correct period, no arithmetic needed, format and scale consistent with source convention. Corroborated by narrative text stating the same $200 million reserve figure.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,17934.0,10.0,1581.0,0.018867,False
Double_STT/2008/page_139.pdf_q1,Double_STT/2008/page_139.pdf,1,Number,True,892,892,high,0.99,"All six checks pass. Direct table lookup with operand (892) exactly matching cited source (table row 'total other expenses,' column 2008). Period correctly inherited from prior turn context. No arithmetic required; no ambiguity in scope, reference, or operation.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,20792.0,10.0,1859.0,0.020295,False
Double_STT/2008/page_139.pdf_q2,Double_STT/2008/page_139.pdf,2,Program,True,22.4%,22.4%,high,0.99,"All six checks pass. Operands (200.0, 892.0) directly verifiable from 2008 table; prior references clear; program correctly computes portion as (part/whole)×100; calculator trajectory confirmed; percentage scale appropriate.""","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,21895.0,10.0,2653.0,0.024828999999999997,False
Double_STT/2008/page_139.pdf_q3,Double_STT/2008/page_139.pdf,3,Number,True,79,79,high,0.99,All six checks pass. Direct table lookup with exact cell-to-answer match (79.0 → 79); period 2007 verified; no computation required or performed; output format matches source convention.,"{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,22727.0,10.0,2021.0,0.021308999999999998,False
Double_STT/2008/page_139.pdf_q4,Double_STT/2008/page_139.pdf,4,Number,True,478,478,high,0.99,"All six checks pass. Straightforward direct table lookup: 478 correctly retrieved from 'total other expenses' row, 2007 column, with no arithmetic or period ambiguity.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,20475.0,10.0,1845.0,0.020483,False
Double_STT/2008/page_139.pdf_q5,Double_STT/2008/page_139.pdf,5,Program,True,16.5%,16.5%,high,0.99,"All six checks pass. Both operands (79, 478) are correctly retrieved from source and prior turns for 2007; period, references, and operation (part ÷ whole × 100) all match; arithmetic verified end-to-end in calculator_trajectory; percentage format appropriate and properly scaled.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,26507.0,10.0,2604.0,0.024824,False
Single_OKE/2008/page_86.pdf-2_q0,Single_OKE/2008/page_86.pdf-2,0,Program,True,233629,233629,high,0.99,"All operands correctly extracted, periods match question exactly, subtraction (2008 minus 2007) is the correct program for net change, arithmetic verified to 233,629 thousands. Units consistent throughout (thousands of dollars).","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,28341.0,10.0,2734.0,0.025744000000000003,False
Single_OKE/2008/page_86.pdf-2_q1,Single_OKE/2008/page_86.pdf-2,1,Number,True,25171,25171,high,0.99,"All six checks pass. Direct single-value lookup of an explicitly labeled table cell (25171 thousands) for December 31, 2007. No arithmetic required, no rescaling, exact match to cited source. Reference to prior turn's grounded 2007 component is clear and valid.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,20617.0,10.0,1859.0,0.021013,False
Single_OKE/2008/page_86.pdf-2_q2,Single_OKE/2008/page_86.pdf-2,2,Program,True,928.2%,928%,high,0.99,"All checks pass. Net change (233,629k) correctly sourced from turn 1; 2007 base (25,171k) from table first row; percentage-change operation and operand order correct; calculator verified: 233629/25171 × 100 = 928.167%, rounded to 928.2%.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,27341.0,10.0,2715.0,0.025971,False
Double_HUM/2005/page_80.pdf_q0,Double_HUM/2005/page_80.pdf,0,Program,True,11.1%,11.1%,high,0.98,"All six checks pass. Both operands ($6.0M net tangible assets, $54.2M purchase price) are directly and unambiguously cited from the December 20, 2005 corphealth narrative; period and entity are correctly isolated; the percentage program (divide then ×100) matches the question's wording; calculator trajectory confirms 11.1% (11.0701 rounded to one decimal place).","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,26603.0,10.0,2614.0,0.025312,False
Double_HUM/2005/page_80.pdf_q1,Double_HUM/2005/page_80.pdf,1,Program,False,172.9%,1.73,low,0.18,"Period mismatch: question asks about December 20, 2005 (corphealth), but trail uses February 16, 2005 (careplus) data. Corphealth lacks a separate cash figure; the correct answer should be 'cannot be determined.' Trail acknowledges the 'Type II pivot' but does not flag it as disqualifying.""","{""operand_in_source"": ""pass"", ""period_matches"": ""fail"", ""reference_resolved"": ""fail"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,51998.0,10.0,4369.0,0.03412899999999999,False
Single_RSG/2008/page_56.pdf-1_q0,Single_RSG/2008/page_56.pdf-1,0,Number,False,2.4 billion,2.4,high,0.99,All six checks pass decisively. Direct lookup from unambiguous source sentence explicitly listing cost of operations for 2008 as $2.4 billion; period is clearly stated and matched; no arithmetic or complex derivation required.,"{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,30127.0,10.0,2782.0,0.026454000000000002,False
Single_JKHY/2014/page_30.pdf-2_q0,Single_JKHY/2014/page_30.pdf-2,0,Number,False,16.9%,116.85,high,0.99,"All six checks pass: operands (100.0, 116.85) verified against source table; periods correct (2009 baseline, 2010 endpoint); percentage-change program matches question intent; calculator trajectory confirmed (16.85% → 16.9% rounded); percent scale appropriate for annual investment performance.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,21481.0,10.0,2504.0,0.024512,False
Double_AMT/2005/page_32.pdf_q0,Double_AMT/2005/page_32.pdf,0,Program,False,1.0,56250,high,0.99,"All six checks pass. Direct, explicit lookup from pre_text: ""approximately 1.0 million warrants"" assumed in August 2005 SpectraSite merger. No arithmetic needed, units correctly stated in millions, source unambiguous.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,21031.0,10.0,2469.0,0.024704999999999998,False
Single_KIM/2010/page_86.pdf-2_q0,Single_KIM/2010/page_86.pdf-2,0,Program,True,-0.1,-0.1,high,0.99,All six checks pass: both operands (4.3M and 4.4M) are correctly extracted from pre_text for the correct periods (2010 and 2009); subtract is the correct operation for year-over-year change; calculator verified 4.3 − 4.4 = −0.1; no unit or scale errors.,"{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,27016.0,10.0,2633.0,0.025631,False
Single_KIM/2010/page_86.pdf-2_q1,Single_KIM/2010/page_86.pdf-2,1,Number,True,4.4,4.4,high,0.99,All six checks pass. The 2009 expense value (4.4 million) is directly stated in the pre_text sentence with unambiguous period matching; no arithmetic or rescaling required; unit and scale consistent with source and prior turn's context.,"{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,52048.0,10.0,5029.0,0.037147,False
Single_KIM/2010/page_86.pdf-2_q2,Single_KIM/2010/page_86.pdf-2,2,Program,True,-2.3%,-2.3%,high,0.98,"All six checks pass. Operands (-0.1 net change, 4.4M baseline) correctly sourced from prior turns grounded in document. Period interpretation (2009-2010) matches implicit scope of percent-change follow-up. Program (divide then multiply by 100) matches question semantics. Calculator trajectory present and verified: -0.1 / 4.4 × 100 = -2.2727..., rounded to -2.3%. Answer correctly formatted as percentage.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,32774.0,10.0,3307.0,0.029207,False
Single_EMN/2006/page_110.pdf-2_q0,Single_EMN/2006/page_110.pdf-2,0,Number,True,3.24%,3.24,low,0.87,"Sign flip from source value -3.24 to 3.24% lacks calculator verification. While the sign artifact is clearly documented (uniform negation across all rate/yield metrics) and economically justified (yields cannot be negative), the explicit rule requires any sign flip to be verified by calculator call. Answer is almost certainly correct but fails the hard gate.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""fail"", ""unit_and_scale"": ""pass""}",,82203.0,10.0,7343.0,0.048139,False
Single_EMN/2006/page_110.pdf-2_q1,Single_EMN/2006/page_110.pdf-2,1,Number,True,3.29%,3.29,high,0.98,"All six checks pass. Straightforward lookup of expected dividend yield for 2005 (3.29% after removing spurious minus sign, already precedented in Q1). Period correct, format correct, no arithmetic required. Minimal residual uncertainty only on whether ""expected yield"" definitely maps to dividend yield rather than another metric—contextually unambiguous.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,31696.0,10.0,3245.0,0.027671,False
Single_EMN/2006/page_110.pdf-2_q2,Single_EMN/2006/page_110.pdf-2,2,Program,True,-0.05,-.05,low,0.82,"unit_and_scale fails: answer reported as bare ""-0.05"" without percentage or percentage-point units, inconsistent with prior answers ""3.24%"" and ""3.29%"". The underlying subtraction is arithmetically correct, but the formatting/presentation is incomplete and could create ambiguity about the unit of measurement (percentage points vs. other interpretations).","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""fail""}",,87825.0,10.0,8225.0,0.053071,False
Single_EMN/2006/page_110.pdf-2_q3,Single_EMN/2006/page_110.pdf-2,3,Program,True,-1.5%,-1.5%,high,0.99,"All six checks pass. Percent change correctly computed as (3.24−3.29)/3.29×100 = −1.5%, with calculator trajectory verified and sign artifact in table correctly handled as formatting noise given the non-negative nature of yields.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,36253.0,10.0,3462.0,0.029559999999999996,False
Single_IPG/2015/page_24.pdf-2_q0,Single_IPG/2015/page_24.pdf-2,0,Program,True,0.3655,0.3655,high,0.995,"All operands correctly sourced from table, periods match question scope, division program is correct for ratio/proportion, calculator verified to 4-decimal rounding, and decimal proportion format is appropriate for the question phrasing.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,22709.0,10.0,2224.0,0.023018,False
Single_IPG/2015/page_24.pdf-2_q1,Single_IPG/2015/page_24.pdf-2,1,Program,True,36.6%,36.55,high,0.99,All six checks pass. Prior turn's ratio (0.3655...) correctly derived from table; percentage conversion (×100) properly executed and verified by calculator; rounding to one decimal place standard and correct; answer appropriately scaled with % symbol.,"{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,33864.0,10.0,3171.0,0.027519000000000002,False
Double_EOG/2017/page_85.pdf_q0,Double_EOG/2017/page_85.pdf,0,Number,True,275305,275305,high,0.99,"All six checks pass. Direct, unambiguous table lookup with exact value match (275305), correct period (2017), properly sourced and scaled (thousands), no arithmetic risk.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,19748.0,10.0,1816.0,0.019858,False
Double_EOG/2017/page_85.pdf_q1,Double_EOG/2017/page_85.pdf,1,Number,True,252030,252030,high,0.995,All six checks pass. Direct lookup from cited table cell; 2016 interest net of capitalized interest value of 252030 is exact verbatim match to source; no arithmetic needed; period and reference are unambiguous follow-ups to Q1.,"{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,18376.0,10.0,1623.0,0.018947,False
Double_EOG/2017/page_85.pdf_q2,Double_EOG/2017/page_85.pdf,2,Program,True,109.2%,1.09235,high,0.98,"All six checks pass. Both operands (275,305 and 252,030) are correctly retrieved from the source table and prior turns, periods match the question's explicit 2017-to-2016 comparison, the program correctly computes 2017÷2016×100, calculator trajectory verifies the arithmetic, and the percentage format is standard for ratio/portion questions. The answer 109.2% accurately represents that 2017 interest was 109.2% of 2016, a ~9.2% increase year-over-year.""","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,43440.0,10.0,4168.0,0.032471999999999994,False
Double_EOG/2017/page_85.pdf_q3,Double_EOG/2017/page_85.pdf,3,Program,True,9.2%,9.235%,high,0.99,All operands correctly reused from prior Turn 3 (verified ratio 275305/252030 = 1.0923...); transformation (ratio − 1) × 100 correctly isolates growth component as requested; complete calculator trajectory confirms result 9.235... → 9.2%; percentage scale appropriate for change/growth; periods consistent throughout turns.,"{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,47298.0,10.0,4677.0,0.035079,False
Double_EOG/2017/page_85.pdf_q4,Double_EOG/2017/page_85.pdf,4,Program,True,122.4%,1.2242,low,0.78,"All six checks pass with justified period substitution (2017 vs 2016 for asked 2018 vs 2017 per missing-period protocol), but literal period label mismatch creates genuine remaining doubt; withhold under 99% bar per judge guidance that pattern-justified substitutions should not carry to high confidence tier.","{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,77069.0,10.0,7291.0,0.04874500000000001,False
Double_EOG/2017/page_85.pdf_q5,Double_EOG/2017/page_85.pdf,5,Program,True,22.4%,22.42%,high,0.99,All six checks pass. Operand (1.2242... = 475/388) correctly extracted from document; program correctly computes net percentage change by subtracting 1 and scaling by 100; arithmetic verified exactly through calculator trajectory; answer 22.4% is properly rounded and matches the established pattern from Q4.,"{""operand_in_source"": ""pass"", ""period_matches"": ""pass"", ""reference_resolved"": ""pass"", ""program_matches"": ""pass"", ""arithmetic_verified"": ""pass"", ""unit_and_scale"": ""pass""}",,57843.0,10.0,5803.0,0.040952999999999996,False
