report_id,turn_index,version,teacher_agent,teacher_mode,teacher_why,human_agent,human_mode,notes
Single_BLK/2013/page_29.pdf-1,0,v3_1,retriever,retriever/wrong-value,"The gold program is subtract(655.6, 41.4), which uses AUM=655.6 and net inflows=41.4 (one-magnitude-lower figures), but the retriever returned 914.4 for AUM and 64.0 for net inflows. The retriever pulled the ""$914.4 billion of AUM"" and ""$64.0 billion of net inflows"" phrases from the narrative text, but the gold values correspond to a different line/scope in the table (655.6 and 41.4). The retriever also used the text figures verbatim rather than locating the correct table rows the gold program relies on, so the wrong operands flowed downstream and produced 850.4 instead of 614.2.",,,
Double_C/2009/page_141.pdf,2,v3_1,calculator,wrong-format-for-ratio,"The gold program is divide(493, 59) = 8.35, meaning the answer is expected as a plain multiple (ratio), not a percentage. The preprocess agent chose to multiply by 100 because it interpreted ""in relation to"" as a percentage request, but the gold convention treats ""how much ... did X represent in relation to Y"" as a ratio-to-1 (multiple). The calculator faithfully executed multiply(divide(A,B),100), yielding 835.6% instead of the expected 8.35.",,,
Double_PNC/2009/page_68.pdf,0,v3_1,retriever,retriever/wrong-period,"The retriever pulled the estimate (""$41 million in 2010"") rather than the actual pretax pension expense figure that the question — combined with the gold answer ""117"" — targets. The source sentence pairs the 2010 estimate with a 2009 actual of $117 million, and the gold program returns 117, indicating the question's ""2010"" maps to the actual reported figure in the document's context (likely the actual for a period labeled differently, or the 2009 actual mislabeled as 2010 in the table). The retriever grabbed the forward-looking estimate and reported it as fact.",,,
Double_KIM/2010/page_94.pdf,0,v3_1,preprocess,preprocess/wrong-operation,"The question asks for the ""change ... from 2009 to 2010,"" and the preprocess stage set sub-question A = 2009 value and B = 2010 value with subtract(A, B), yielding a positive change. But the gold program is subtract(110.4, 113.1), i.e., 2010 minus 2009, producing a negative change of -2.7. The preprocess reversed the operand order for the ""from YEAR_A to YEAR_B"" phrasing, computing 2009 − 2010 instead of 2010 − 2009. The calculator faithfully executed subtract(113.1, 110.4) = +2.7, so the sign error originated in the program's operand ordering, not downstream.",,,
Single_IP/2014/page_65.pdf-2,1,v3_1,preprocess,preprocess/wrong-output-format,"The program divide(A, B) correctly uses 1100 and 6205, but ""that"" (1100) is the Brazilian papers net sales ×1000, while the divisor is total printing papers sales in millions (6205.0). The gold program is multiply(1.1, 1000) then divide by 6205 — i.e., 1100/6205 = 0.177 ≈ 18% as a percentage. The preprocess emitted the ratio program but did not establish the percentage formatting requirement, and the calculator returned the raw decimal. The mismatch with the gold answer ""18%"" is a percentage-format issue, not a value-retrieval issue.",,,
Double_MMM/2007/page_38.pdf,1,v3_1,triage,triage/wrong-turn-type,"The question ""what is the net change in cash flows provided by operating activities in 2006?"" asks for a change value, and the source text states it verbatim as ""cash flows provided by operating activities decreased $365 million."" The gold answer returns the magnitude 365 (positive), while the pipeline returned -365. The root divergence is in sign/format: the phrase ""net change"" with a reported ""decrease"" means the change value is 365 (the amount of the change), not -365. Triage classified this as a simple ""number"" lookup and passed the verbatim decrease wording downstream, but more importantly the retrieved value was given a negative sign contrary to the gold convention that ""net change"" reports the magnitude of the stated decrease.",,,
Double_ADBE/2013/page_84.pdf,0,v3_1,preprocess,preprocess/wrong-operation,"The gold program is subtract(136098, 160468), which computes later-year minus earlier-year (2013 minus 2012), yielding a net change of -24,370 (a decrease). The preprocess agent instead emitted subtract(A, B) with A=2012 (160,468) and B=2013 (136,098), producing a positive 24,370. The sub-questions were correctly resolved (2012 vs 2013 correctly identified and values correctly retrieved), so the divergence is entirely the operand ordering / direction of the subtraction chosen at preprocess time.",,,
Single_UNP/2006/page_55.pdf-4,3,v3_1,retriever,retriever/wrong-period,"The question ""what was the eps 2013 basic pro forma?"" contains no year qualifier in its Phrase, but the conversation history Q1 explicitly established this exact entity's value in 2004 (answer 2.25). The retriever correctly recognized the question omitted a year and that ""2013"" refers to the row label, not a year qualifier. However, instead of resolving the ambiguity using the established history (2004 → 2.25), it defaulted to ""most recent year available = 2005"" and returned 3.75, contradicting the gold answer of 2.25.",,,
Single_GPN/2008/page_95.pdf-1,0,v3_1,triage,triage/wrong-turn-type,"The question asks for the peso amount ""converted to the thousands,"" which requires a scale transformation (multiply the raw 6.1 billion figure by 1000 to express it in thousands: 6.1 × 1000 = 6100). The gold program confirms this as multiply(6.1, const_1000), i.e. a ""program"" turn. Triage misclassified it as a ""number""/direct-lookup, dismissing the ""converted to the thousands"" instruction as mere formatting. Because it was classified as a number, no calculator ever ran, and the retriever returned the raw 6.1 un-scaled, producing the wrong answer.",,,
Double_FRT/2007/page_137.pdf,0,v3_1,retriever,retriever/wrong-value,"The retriever returned the same aggregate ""additions during period"" value (96454.0) for both 2005 and 2006, even though the gold program uses year-specific values 83656 (2005) and 89564 (2006). The table actually contains per-year additions values, but the retriever grabbed a single aggregated row and reused it for both sub-questions, so the calculator correctly computed 96454-96454=0 instead of 89564-83656=5908.",,,
