slice,value,dspy_acc,pydantic_acc,api_acc
overall,overall,0.631578947368421,0.5197368421052632,0.5657894736842105
turn_type,Number,0.8360655737704918,0.8360655737704918,0.8688524590163934
turn_type,Program,0.4945054945054945,0.3076923076923077,0.3626373626373626
q_order,0,0.725,0.7,0.7
q_order,1,0.7,0.6,0.7
q_order,2,0.59375,0.4375,0.40625
q_order,3,0.43478260869565216,0.30434782608695654,0.391304347826087
q_order,4,0.7272727272727273,0.45454545454545453,0.5454545454545454
q_order,5,0.2,0.2,0.2
q_order,6,1.0,0.0,1.0
