Methods,question_id,executed_answers_agent_v1_score,turn_program_agent_v1_score
Answered,3460,0.7355491329479769,0.3968208092485549
Not Answered,9134,0.0,0.0
turn_type-Number,1207,0.8500414250207126,0.5907207953603977
turn_type-Program,2253,0.6742121615623613,0.2929427430093209
has_type2_question-False,2319,0.7503234152652005,0.40060370849504096
has_type2_question-True,1141,0.7055214723926381,0.38913234005258546
q_order-0,941,0.7619553666312433,0.5260361317747078
q_order-1,939,0.7635782747603834,0.4185303514376997
q_order-2,720,0.7013888888888888,0.3388888888888889
q_order-3,513,0.695906432748538,0.29434697855750486
q_order-4,247,0.728744939271255,0.26720647773279355
q_order-5,76,0.6973684210526315,0.23684210526315788
q_order-6,19,0.6842105263157895,0.21052631578947367
q_order-7,4,0.5,0.25
q_order-8,1,1.0,1.0
